index,d1,d2,Number of calculations,Point type,Cids (may be more than one
0,0.7947791788945989,0.6068987203773191,41,1,10
1,0.9648802249063531,0.26269021981159796,18,1,10
2,0.8697772129189636,0.4934446269713753,24,1,10
3,0.9029529882941163,0.4297393406830766,16,1,10
4,0.8893856959910084,0.45715761370296526,24,1,10
5,0.3284350177820351,0.9445265687605163,9,1,24
6,0.6303463385448499,0.776314043079926,9,1,12
7,0.9555371167594163,0.29487085053477485,18,1,10
8,0.9644994659950333,0.26408479716806016,21,1,10
9,0.9729697070514831,0.2309327806097501,14,1,10
10,0.6867801493448503,0.7268652051555813,12,1,11
11,0.8443346087223914,0.5358162637636208,17,1,10
12,0.10203092023419139,0.994781227866793,5,1,51
13,0.5733005259844429,0.8193451695750461,9,1,14
14,0.5057741012607881,0.8626659599716693,10,1,16
15,0.9640932378218423,0.26556398247163854,25,1,10
16,0.36473454878186984,0.9311115448349278,10,1,20
17,0.2714513844219244,0.962452152522618,4,1,33
18,0.7646852488422627,0.6444039650739641,19,1,10
19,0.7756448238832758,0.6311696342371692,33,1,10
20,0.8549902375381548,0.5186440915641954,14,1,10
21,0.42780829238138995,0.9038694955410981,9,1,19
22,0.15447450830498285,0.9879967744299238,9,1,43
23,0.9241962007218749,0.3819180312203808,25,1,10
24,0.7479206966510366,0.663788092331452,15,1,10
25,0.5556085716798158,0.8314439939502329,10,1,14
26,0.749976272992748,0.6614647306908412,15,1,10
27,0.13849568317370703,0.9903630373465319,8,1,44
28,0.8620675912436713,0.5067933189450451,21,1,10
29,0.9688054201694849,0.24782263385378653,15,1,10
30,0.4710074177446681,0.8821292492767144,9,1,17
31,0.87033221770184,0.49246505544068525,15,1,10
32,0.7433315463354284,0.6689231736325039,16,1,10
33,0.7854542663446511,0.6189197003497188,31,1,10
34,0.7346595582153197,0.6784359465143864,11,1,11
35,0.8965981075172379,0.44284515758502724,21,1,10
36,0.8163750607482763,0.5775220863207294,41,1,10
37,0.49770455220338605,0.8673466312357633,9,1,16
38,0.6204360778162389,0.7842570199520066,9,1,14
39,0.9846281050103876,0.17466394826538562,10,1,8
40,0.8007569395772959,0.5989894187035386,26,1,10
41,0.8039652649545236,0.5946762587716131,36,1,10
42,0.6085292725012643,0.7935314262895213,8,1,14
43,0.7733248078819024,0.6340100484333184,19,1,10
44,0.9148750092924886,0.4037371884927981,17,1,10
45,0.893618841317922,0.44882665522628473,28,1,10
46,0.8086130713241241,0.5883408033476575,27,1,10
47,0.7092518649676575,0.7049551702341785,20,1,11
48,0.8840497333205203,0.46739284228143385,22,1,10
49,0.7923840853545565,0.6100225088280128,26,1,10
50,0.5818430292721573,0.8133011061638853,10,1,14
51,0.49154753723820577,0.8708507441778153,7,1,16
52,0.9926097558431343,0.12135020644825169,12,1,8
53,0.51393551162295,0.8578288231884358,10,1,16
54,0.8298552891568671,0.5579786725837939,39,1,10
55,0.521541717545745,0.8532257830489152,10,1,16
56,0.8796109051823602,0.4756938674024177,26,1,10
57,0.8281198710974689,0.5605510494981802,40,1,10
58,0.9843473028390711,0.17623957385742323,12,1,8
59,0.6593055304122697,0.7518751342927865,16,1,11
60,0.8428739756070575,0.5381110120080741,28,1,10
61,0.9475117490255244,0.31972094935832984,15,1,10
62,0.6924033927652639,0.7215105970719708,14,1,11
63,0.2982884755873001,0.9544757646644595,7,1,30
64,0.8121980705381837,0.583381773981714,36,1,10
65,0.8873614091383116,0.461074537978481,16,1,10
66,0.5210549677951383,0.853523122437821,12,1,16
67,0.48218405286943256,0.8760699396500307,12,1,17
68,0.9357598046474694,0.3526380410649562,20,1,10
69,0.8470974566874665,0.5314375775889635,15,1,10
70,0.5397965385207965,0.8417955197082998,9,1,16
71,0.980466051163563,0.19668838937702887,14,1,8
72,0.26394135925071754,0.9645387285520907,6,1,34
73,0.6414715446796747,0.7671468290792006,8,1,12
74,0.2641421457870434,0.9644837618223627,6,1,34
75,0.4146921356220908,0.9099617753802569,11,1,19
76,0.48827400992958786,0.8726903753492878,15,1,16
77,0.8298787074690636,0.5579438420571341,39,1,10
78,0.5950147409694289,0.8037147864939922,14,1,14
79,0.41176456318615334,0.9112902635846146,13,1,19
80,0.6061192847291815,0.795373756594587,11,1,14
81,0.8701192391029672,0.4928412622162164,19,1,10
82,0.8375538331485549,0.5463548083234583,19,1,10
83,0.6534143076184228,0.757000490488307,14,1,11
84,0.9571455324531603,0.2896073716343497,30,1,10
85,0.9143504354918842,0.40492379667759915,21,1,10
86,0.9827121010805896,0.1851402884025328,14,1,8
87,0.9513464442852303,0.3081232593392606,24,1,10
88,0.5236048469912251,0.8519612457191322,5,1,16
89,0.5788885685270498,0.8154066624873156,7,1,14
90,0.9506528097674142,0.31025672479628985,23,1,10
91,0.9375630092593613,0.3478154735898486,26,1,10
92,0.06764998088363908,0.9977091159683984,3,0,57
93,0.3806065413648105,0.9247370765089485,18,1,20
94,0.6461447262394483,0.7632149060080969,22,1,11
95,0.8832290808182999,0.4689417776194195,19,1,10
96,0.4170134889272014,0.9089002970913603,15,1,19
97,0.6027704494084758,0.797914647891555,16,1,14
98,0.98630799434057,0.16491373593452457,16,1,8
99,0.6473658980259709,0.7621793713247743,16,1,11
100,0.9909324804108035,0.13436078024071063,13,1,8
101,0.8941239545176594,0.44781955513097316,30,1,10
102,0.8144707329431435,0.5802046407769061,32,1,10
103,0.7693105633967438,0.6388749932859987,21,1,10
104,0.4460364623470662,0.8950147899654588,9,1,19
105,0.7122693507832786,0.7019062415556416,19,1,11
